Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Pressure,Temp,DeltaP,AirspeedTemp,Speed,Power,Airspeed
206.940,0.52,5.43,3.97,0.91,-0.74,-0.54,1013.4,16.4,-40.5,14.4,10.35,36,0.00
207.054,0.14,-3.24,19.65,-0.16,-0.42,0.26,1013.5,16.3,-44.7,14.4,10.35,36,0.00
207.151,1.95,-1.86,5.16,-0.29,-2.73,0.61,1013.6,16.3,-43.7,14.4,10.35,36,0.00
207.248,-1.03,-4.00,-7.13,0.50,-1.12,-0.21,1013.8,16.4,-44.7,14.4,10.35,36,0.00
207.345,8.23,0.07,10.15,-0.30,2.15,-0.29,1013.8,16.4,-37.4,14.4,10.35,36,0.00
207.442,1.25,-1.68,-8.60,-0.92,-0.81,-0.12,1013.5,16.4,-41.6,14.4,10.31,36,0.00
207.628,20.58,5.09,16.18,1.25,0.44,-0.15,1012.9,16.5,-46.8,14.4,10.31,33,0.00
207.653,2.53,2.18,2.42,-0.28,0.20,-0.09,1014.0,16.4,-43.7,14.4,10.31,33,0.00
207.751,-6.04,2.83,0.98,0.78,-1.34,-0.16,1013.9,16.4,-43.7,14.4,10.31,33,0.00
207.848,-3.53,-4.55,5.06,-0.03,-1.37,-0.12,1013.9,16.3,-46.8,14.4,10.31,33,0.00
207.945,14.25,4.48,4.91,-0.39,1.23,0.38,1013.6,16.4,-50.0,14.4,10.31,33,0.00
208.059,-7.31,-7.09,19.58,-0.15,-0.60,0.08,1013.4,16.5,-46.8,14.4,10.31,33,0.00
208.156,-4.58,-8.00,21.36,0.03,-0.64,-0.23,1013.1,16.5,-47.9,14.4,10.31,33,0.00
208.253,-10.30,-2.24,7.44,-0.06,0.36,0.10,1013.6,16.4,-46.8,14.4,10.31,33,0.00
208.350,3.59,-0.77,-3.48,0.32,-0.22,-0.20,1013.6,16.3,-44.7,14.4,10.31,33,0.00
208.448,-2.81,3.25,27.18,0.81,0.95,-0.82,1013.4,16.5,-46.8,14.4,10.29,33,0.00
208.538,0.25,-4.80,13.42,-2.23,-3.47,0.04,1013.3,16.4,-46.8,14.4,10.29,33,0.00
208.694,-2.25,1.17,10.39,-1.02,-0.90,0.14,1013.8,16.3,-50.0,14.4,10.29,34,0.00
208.744,-0.35,3.50,-4.50,-0.49,1.77,0.13,1013.1,16.4,-43.7,14.4,10.29,34,0.00
208.841,7.65,-3.37,17.37,-0.44,0.41,-0.17,1013.7,16.4,-43.7,14.4,10.29,34,0.00
208.938,3.99,1.24,16.62,-0.20,0.85,-0.39,1013.7,16.2,-41.6,14.4,10.29,34,0.00
209.053,1.31,7.77,8.30,0.70,0.58,-0.94,1013.2,16.4,-40.5,14.4,10.29,34,0.00
209.150,-1.48,1.65,1.71,0.08,0.29,-0.17,1013.6,16.2,-37.4,14.4,10.29,34,0.00
209.247,7.82,1.68,3.25,-0.32,-1.38,0.01,1013.5,16.4,-35.2,14.4,10.29,34,0.00
209.344,10.95,0.23,10.96,-0.23,-1.41,0.26,1013.6,16.4,-40.5,14.4,10.29,34,0.00
209.441,-1.48,3.96,2.52,0.72,1.17,-0.05,1013.6,16.4,-41.6,14.4,10.29,34,0.00
209.557,0.73,-0.54,3.60,1.09,0.03,-0.37,1013.5,16.5,-43.7,14.4,10.29,34,0.00
